FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR
1576\1576_20260629B_2025-06-29-193339-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1576,Training video,0.122113664,0.00438616442782034,0.166072923341366,0.0892123068570818,0.00430888739206169,0.166053454609269,0.0917546031673278,0.00276724230999427,0.550691001113993,0.082723044719288,0.00228980916668808,0.551163472121956,0.082232018581091,0.01321788,0.005805641,58.22554606,58.99516436,-9.09e-07,0.00130897673643664,0.530884737,0.00243774468475477,0.538090961
1576\1576_20260629A_2025-06-29-133605-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1576,Training video,0.100078051,0.0038774333395252,0.192649753976969,0.0958693085447862,0.00370245810243406,0.192102518158418,0.0978568732475188,0.00227965118455753,0.525389571264027,0.12308304227092,0.00175798606826395,0.526829197766334,0.122601431108126,0.017912364,0.00252497,56.56850173,57.58177735,-1.31e-07,0.00134745705304271,0.530120978,0.00197891848746344,0.535806722
1576\1576_20260628_2025-06-28-160635-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1576,Training video,0.3048835,0.0089172877556519,0.217350549046351,0.110930367410108,0.0121531532185591,0.215908801838528,0.113799444311787,0.0117540183154936,0.504322138804541,0.148306234383495,0.0074083250336428,0.505388887418008,0.14939689677844,0.019000372,0.005040517,61.25968698,62.42364382,7.32667142064768e-07,0.00218824863861818,0.530461708,0.0102062641731219,0.542693667
1576\1576_20260627_2025-06-27-160655-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1576,Training video,0.173476793,0.0061123830146889,0.167031491405866,0.246407865117449,0.00655510211767625,0.166618196485589,0.252543827678137,0.0578933223227424,0.421913990500391,0.250380235461131,0.00313570548097284,0.416442176385764,0.266183657060013,0.007066029,0.034640439,61.22539967,61.65802013,-4.23e-06,0.00117024391939657,0.528431645,0.0169858413247088,0.534981393
1576\1576_20260626_2025-06-26-171937-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1576,Training video,0.503722559,0.0197433669409917,0.2038705843636,0.296196149158695,0.0230958404336744,0.199523186460293,0.31318171126132,0.123681487536624,0.274561699602903,0.31141877972661,0.0115382553912923,0.285424468839684,0.339449361604937,0.006794157,0.034510323,62.8084319,63.23516226,3.06762547210245e-06,0.00394198966538546,0.526026459,0.0772564129549584,0.529121862
1576\1576_20250708_2025-07-08-134029-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1576,60 DPI,0.095523385,0.00454152556041984,0.141830349086219,0.205617209121032,0.00715901455754766,0.143654195196394,0.207417427203433,0.00485787311309973,0.40878491699521,0.123898903163095,0.0017623745273118,0.414154061253562,0.125387119659898,0.002213506,0.008043102,56.41234875,56.53721781,1.54985650408969e-05,0.002391714021295,0.529600025,0.00255090334070741,0.559127586
1575\1575_20260626_2025-06-26-165346-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1575,Training video,0.348151494,0.0066195107056422,0.268248790986294,0.0873642673373011,0.00812854779068242,0.268613013362093,0.0902079460419099,0.013996270548946,0.568957100810107,0.15042468421401,0.00493643948398044,0.570697006925574,0.151423224436958,0.001708047,0.007145737,57.64665107,57.74511426,2.98013242164136e-06,0.00217267901323947,0.533641489,0.0125210653826578,0.538623349
1575\1575_20260627_2025-06-27-154228-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1575,Training video,0.153537566,0.00319405656521722,0.275431069223254,0.0557251778883999,0.00382448862013543,0.275371752585371,0.0565426656295415,0.00390828877117543,0.584192835072987,0.257147699881435,0.00230124153370384,0.585168072807547,0.257208241371094,0.003023919,0.005517077,57.25990281,57.43305211,2.0759243580859e-07,0.00102324094246255,0.530131781,0.00388521272944127,0.545840395
1575\1575_20260628_2025-06-28-154022-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1575,Training video,0.218434211,0.00538311238252202,0.235997365637419,0.068087533946495,0.00618253766188361,0.235795347504109,0.0692950555748783,0.00542493494273655,0.547936096802442,0.176955763984236,0.00366759437979064,0.547953894111938,0.175998250122997,0.003485598,0.009249103,60.462037,60.67278334,7.01928911642836e-07,0.00113483602531978,0.534756122,0.00383418317943033,0.543812584
1575\1575_20260629A_2025-06-29-131051-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1575,Training video,0.213162069,0.0049532681479034,0.238086832824948,0.0461558950058474,0.00549546908496815,0.238419794466515,0.0475871070491749,0.00517075749910178,0.534432105135291,0.188677250092709,0.00340141265094363,0.533911335551441,0.186686709593962,0.00986056,0.005641384,60.22826013,60.82214448,-3.27e-07,0.00116623704844767,0.534602294,0.00346064299676538,0.543229306
