FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR,StrideCountPerFrameFR,StrideCountPerFrameFL,StrideCountPerFrameBR,StrideCountPerFrameBL
1715\1715_20260305_2026-03-05-140706-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-1.00035056975672,0.134316291407753,0.15704642765934,0.212504920974885,0.107313271847073,0.147034387016705,0.213891424388621,0.233339172330168,0.192841008878615,0.498516138659419,0.263081016914722,0.15377035791917,0.434588426753072,-0.00133532125520195,-0.00291860748156074,86.0424936397759,91.3857297736235,-1.22935952085931e-06,0.0145970438637436,0.532593373680106,0.160009746245635,0.489722656989503,0.0273543627465802,0.030166251290402,0.0171607268580709,0.0238729769304198
1715\1715_20260306_2026-03-06-123843-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.97550087796598,0.150185457058835,0.171429790890256,0.215188236988326,0.10799506960617,0.144653293987994,0.208869078941505,0.236960846173909,0.214186946061484,0.459915659341891,0.284078426949391,0.146495952984545,0.388209849528804,-0.00158530870126187,-0.00259022245439901,86.6090398877531,92.086590499098,3.62947739960998e-07,0.0167047175026389,0.531526268982529,0.153827530574178,0.495295413972905,0.0270244537983564,0.0294297454399679,0.0174433754259371,0.0239827620765685
1715\1715_20260303_2026-03-03-133957-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.0962119087514155,0.0826918645715835,0.163755901568134,0.250199141132628,0.116254142098244,0.193822558963301,0.241018863811972,0.382701643404645,0.169340702581609,0.260070794262134,0.140153985081801,0.216113404739103,0.494755230944536,0.0024545835077438,0.0112507158015293,98.0435610537651,97.4673653245082,-2.64566057336222e-06,0.0062095998503091,0.498240808602384,0.069800302678106,0.514752431456738,0.00566674546266383,0.00613295511254695,0.017545242035038,0.00470149449741286
1715\1715_20260302_2026-03-02-141323-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.0790070948147505,0.104008886287713,0.233531980895816,0.194335481277877,0.152620542187808,0.284257755386278,0.172168567371015,0.395046514577408,0.206610439617512,0.161475512471509,0.215807519537576,0.325748812696945,0.165310974916467,-0.000322616151303201,0.013459797105453,97.522615892569,96.4702921188611,1.8019143953773e-07,0.00807380631403999,0.512838891554139,0.210951982795416,0.511628206274411,0.00784708547400838,0.00892050754356613,0.0239336106957256,0.00921662397654758
1715\1715_20260304_2026-03-04-131724-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,Training video,-0.36991615144946,0.112742794929192,0.124134510082208,0.227295645987736,0.143472527570273,0.158667156145463,0.220829025659826,0.235614334623986,0.171280860546299,0.54720978713212,0.2332465193542,0.183397559012603,0.494298683251335,0.00282510355824393,-0.00132636672980676,94.8643960506737,96.9997780353664,2.46569474454251e-07,0.0144467741728603,0.532692235733562,0.11740530687108,0.502109649729203,0.010539209641486,0.0110900107693952,0.00633010251477709,0.00827023783099448
1715\1715_20260312_2026-03-12-184551-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,60 DPI,-0.449320790170595,0.149550418370808,0.142156663414675,0.185998323456066,0.192585667869633,0.184654292251853,0.141058343216403,0.277282776759951,0.119346056822632,0.291498721216077,0.24985377383335,0.195914226584409,0.319415217365446,6.07221073000095e-05,0.000738590768813077,93.134793165332,94.4355215732404,-5.59521452028036e-07,0.00698355996858158,0.501551949391377,0.169702216127765,0.512829917302589,0.0156313622585169,0.0141308118053356,0.0162270581670663,0.0117027854439066
1716\1716_20260302_2026-03-02-144302-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-0.184763964714464,0.108593304574843,0.191604067669774,0.277900183785003,0.150762793440509,0.17137427390655,0.29387471186268,0.21328476636935,0.219626810604621,0.481115442146797,0.182445741872741,0.190262487244676,0.469739518836298,0.00154772513267504,-0.00206676583328569,96.6130820012688,97.478546382338,-6.16873932105333e-07,0.0143315072545926,0.509132745317778,0.19531770379383,0.506077851140549,0.0086511582513646,0.00886029181102692,0.00636463133238991,0.00865812937002001
1716\1716_20260303_2026-03-03-140644-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-0.718035094892689,0.120087711380747,0.137817205727442,0.285684481700635,0.125616522551358,0.14623083596668,0.286649079466297,0.247887652424475,0.16935480403787,0.543898591334485,0.216438306962658,0.156284124650947,0.515200096578727,0.00343970065307834,-0.00149692299162835,89.3615695613646,93.6513485821887,-2.77690338406915e-06,0.00989965263156339,0.536995257746124,0.137864505567459,0.474268798891626,0.0218902303943288,0.0228525143996455,0.0119420137350465,0.0134719760744351
1716\1716_20260304_2026-03-04-133836-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-1.35676499948911,0.139410962851538,0.13424763357455,0.290253695429317,0.14808233554368,0.161412647416886,0.289126762759657,0.230427502461177,0.128585362924114,0.488958625580614,0.20876751214804,0.166401233117321,0.46907150744131,0.00188472194200166,-0.00398107600151832,83.7425411268256,89.021033198167,7.50161706517843e-07,0.0102277536773437,0.514992502874483,0.149172850674287,0.466361817220126,0.0304536313585864,0.0313272673326081,0.0206623149704942,0.0228628886031715
1716\1716_20260305_2026-03-05-144641-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,Training video,-2.57752458392844,0.115774028440926,0.133794264789598,0.24121382804101,0.162460847719359,0.156984633784331,0.237328524754243,0.251297130920787,0.0756713642179377,0.378527724254947,0.155702515683954,0.154632982589965,0.350838464465911,-0.0116025454833513,-0.00716015838405712,70.9588086280035,77.5107550252575,-2.668946641511e-06,0.0100094377630508,0.528584436915928,0.188625034640727,0.496262068057497,0.0624615891955091,0.0506198192256382,0.0384108044908788,0.0529207200995308
