0,14.386386
0.0049999999,14.38772
0.0099999998,14.39148
0.015,14.397869
0.02,14.406602
0.025,14.418024
0.029999999,14.431528
0.035,14.447579
0.039999999,14.466198
0.045000002,14.486676
0.050000001,14.509763
0.055,14.535133
0.059999999,14.562485
0.064999998,14.592222
0.07,14.624164
0.075000003,14.658085
0.079999998,14.694352
0.085000001,14.732499
0.090000004,14.772789
0.094999999,14.815081
0.1,14.859373
0.105,14.905828
0.11,14.954124
0.115,15.00438
0.12,15.056921
0.125,15.111159
0.13,15.167602
0.13500001,15.225945
0.14,15.286106
0.145,15.34833
0.15000001,15.412333
0.155,15.477812
0.16,15.544908
0.16500001,15.613581
0.17,15.683285
0.175,15.75406
0.18000001,15.825826
0.185,15.898258
0.19,15.971055
0.19499999,16.044094
0.2,16.117254
0.205,16.189627
0.20999999,16.261616
0.215,16.332714
0.22,16.402357
0.22499999,16.470909
0.23,16.537397
0.235,16.602129
0.23999999,16.664757
0.245,16.724697
0.25,16.782169
0.255,16.836954
0.25999999,16.888847
0.26499999,16.937487
0.27000001,16.983133
0.27500001,17.025324
0.28,17.063915
0.285,17.099152
0.28999999,17.130608
0.29499999,17.158384
0.30000001,17.18236
0.30500001,17.202738
0.31,17.219254
0.315,17.231928
0.31999999,17.241026
0.32499999,17.246181
0.33000001,17.247818
0.33500001,17.245716
0.34,17.239975
0.345,17.230818
0.34999999,17.218203
0.35499999,17.202251
0.36000001,17.183168
0.36500001,17.161255
0.37,17.136106
0.375,17.108431
0.38,17.078087
0.38499999,17.045317
0.38999999,17.010527
0.39500001,16.973713
0.40000001,16.935143
0.405,16.895136
0.41,16.853935
0.41499999,16.811584
0.41999999,16.768463
0.42500001,16.724596
0.43000001,16.680363
0.435,16.635767
0.44,16.591091
0.44499999,16.546413
0.44999999,16.50194
0.45500001,16.457708
0.46000001,16.4139
0.465,16.370396
0.47,16.327862
0.47499999,16.286076
0.47999999,16.245159
0.48500001,16.205214
0.49000001,16.166157
0.495,16.128132
0.5,16.091177
0.505,16.055254
0.50999999,16.02026
0.51499999,15.986318
0.51999998,15.953487
0.52499998,15.92185
0.52999997,15.891264
0.53500003,15.862072
0.54000002,15.833992
0.54500002,15.807348
0.55000001,15.781937
0.55500001,15.7579
0.56,15.735198
0.565,15.714012
0.56999999,15.693978
0.57499999,15.6754
0.57999998,15.658196
0.58499998,15.642448
0.58999997,15.628177
0.59500003,15.61548
0.60000002,15.60422
0.60500002,15.594719
0.61000001,15.586835
0.61500001,15.580832
0.62,15.576364
0.625,15.573715
0.63,15.572866
0.63499999,15.573735
0.63999999,15.576505
0.64499998,15.581034
0.64999998,15.587381
0.65499997,15.595751
0.66000003,15.606081
0.66500002,15.618412
0.67000002,15.632826
0.67500001,15.64916
0.68000001,15.667597
0.685,15.688197
0.69,15.710676
0.69499999,15.735158
0.69999999,15.761722
0.70499998,15.789761
0.70999998,15.81976
0.71499997,15.85158
0.72000003,15.885219
0.72500002,15.920374
0.73000002,15.957127
0.73500001,15.995395
0.74000001,16.034775
0.745,16.07555
0.75,16.117517
0.755,16.15991
0.75999999,16.203575
0.76499999,16.247364
0.76999998,16.292061
0.77499998,16.33712
0.77999997,16.38208
0.78500003,16.427303
0.79000002,16.472748
0.79500002,16.518192
0.80000001,16.563335
0.80500001,16.608538
0.81,16.653296
0.815,16.697466
0.81999999,16.740931
0.82499999,16.783909
0.82999998,16.826725
0.83499998,16.869118
0.83999997,16.910702
0.84500003,16.9519
0.85000002,16.992636
0.85500002,17.032925
0.86000001,17.072912
0.86500001,17.11294
0.87,17.152138
0.875,17.191578
0.88,17.231121
0.88499999,17.270237
0.88999999,17.309578
0.89499998,17.348856
0.89999998,17.388317
0.90499997,17.42794
0.91000003,17.468069
0.91500002,17.508541
0.92000002,17.549477
0.92500001,17.590717
0.93000001,17.632099
0.935,17.673582
0.94,17.715771
0.94499999,17.757881
0.94999999,17.800394
0.95499998,17.843454
0.95999998,17.885624
0.96499997,17.927025
0.97000003,17.967861
0.97500002,18.007322
0.98000002,18.046015
0.98500001,18.083818
0.99000001,18.120489
0.995,18.15613
1,18.19076
1.005,18.224541
1.01,18.259331
1.015,18.295256
1.02,18.33227
1.025,18.370619
1.03,18.409756
1.035,18.449642
1.04,18.490883
1.045,18.532951
1.05,18.575666
1.0549999,18.619171
1.0599999,18.662312
1.0650001,18.70521
1.0700001,18.748127
1.075,18.790459
1.08,18.83279
1.085,18.875404
1.09,18.917494
1.095,18.959421
1.1,19.001106
1.105,19.042488
1.11,19.083809
1.115,19.125332
1.12,19.167036
1.125,19.208904
1.13,19.251438
1.135,19.294174
1.14,19.336969
1.145,19.380838
1.15,19.425009
1.155,19.469908
1.16,19.515514
1.165,19.562132
1.17,19.609539
1.175,19.658237
1.1799999,19.70805
1.1849999,19.758549
1.1900001,19.810442
1.1950001,19.86371
1.2,19.918354
1.205,19.97423
1.21,20.030996
1.215,20.08861
1.22,20.147034
1.225,20.20582
1.23,20.264931
1.235,20.32473
1.24,20.384567
1.245,20.44384
1.25,20.503275
1.255,20.561598
